Elapse,Gyro_dPhi,Gyro_dTheta,Gyro_dGama,Gyro_Phi,Gyro_Theta,Gyro_Gama
6.32499999999991,-1e-06,9e-06,-7.8e-05,-0.013001,0.00122,0.006111
5.3430000000001,-3e-06,1.5e-05,-7.1e-05,-0.013004,0.001235,0.00604
6.39499999999993,-1e-05,1.4e-05,-6.3e-05,-0.013014,0.001249,0.005978
6.351,-1.5e-05,6e-06,-5.8e-05,-0.013029,0.001255,0.005919
5.32400000000011,-1.2e-05,-7e-06,-5.4e-05,-0.013041,0.001248,0.005866
6.54899999999992,-7e-06,-3.1e-05,-4.7e-05,-0.013048,0.001217,0.005819
6.44500000000003,-1e-06,-5e-05,-1.8e-05,-0.013049,0.001167,0.0058
6.50600000000012,-3e-06,-6.8e-05,4e-06,-0.013052,0.001099,0.005804
5.21799999999994,-4e-06,-7.7e-05,2.4e-05,-0.013056,0.001022,0.005828
6.36599999999987,2e-06,-8.1e-05,4.2e-05,-0.013054,0.000941,0.00587
6.45099999999998,1.4e-05,-8.1e-05,5.1e-05,-0.01304,0.00086,0.005921
5.28100000000009,2.6e-05,-8.1e-05,5.1e-05,-0.013014,0.000779,0.005972
6.3740000000001,3.8e-05,-8.7e-05,4.6e-05,-0.012976,0.000692,0.006018
6.5449999999998,5e-05,-9.3e-05,3.6e-05,-0.012926,0.000599,0.006054
5.26800000000005,6e-05,-9e-05,2.5e-05,-0.012866,0.000509,0.006079
6.39800000000013,6.6e-05,-8.2e-05,1.5e-05,-0.0128,0.000427,0.006095
5.34199999999996,7e-05,-7e-05,7e-06,-0.01273,0.000358,0.006101
6.34999999999986,7.1e-05,-5.5e-05,-1e-06,-0.012658,0.000303,0.0061
6.45100000000021,6.8e-05,-3.7e-05,-6e-06,-0.01259,0.000266,0.006094
5.31399999999982,6.1e-05,-1.3e-05,-9e-06,-0.01253,0.000253,0.006085
6.44500000000003,5.9e-05,1.3e-05,-1.1e-05,-0.012471,0.000266,0.006073
5.52799999999998,3.9e-05,3.1e-05,-5e-06,-0.012432,0.000297,0.006069
6.36400000000004,3e-05,4.5e-05,2e-06,-0.012401,0.000342,0.00607
6.52600000000003,2.4e-05,4.6e-05,5e-06,-0.012377,0.000388,0.006076
5.37600000000005,3.3e-05,6.5e-05,1e-05,-0.012344,0.000454,0.006086
