acc_x_raw,acc_y_raw,acc_z_raw,acc_x [g],acc_y [g],acc_z [g],gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x [deg/s],gyro_y [deg/s],gyro_z [deg/s],row [deg],pitch [deg],yaw [deg]
-23,163,2119,-0.011236,0.079629,1.035173,27,-14,37,1.687500,-0.875000,2.312500,4.398448,-0.620043,85.557892
-29,162,2125,-0.014167,0.079140,1.038105,18,-97,-1,1.125000,-6.062500,-0.062500,4.359124,-0.779608,85.571442
-25,161,2117,-0.012213,0.078652,1.034196,19,-104,-9,1.187500,-6.500000,-0.562500,4.348729,-0.674636,85.599052
-28,155,2129,-0.013679,0.075721,1.040059,43,-62,55,2.687500,-3.875000,3.437500,4.163664,-0.751505,85.768822
-27,166,2141,-0.013190,0.081094,1.045921,17,-5,-96,1.062500,-0.312500,-6.000000,4.433142,-0.720353,85.508484
-15,159,2133,-0.007328,0.077675,1.042013,7,-61,20,0.437500,-3.812500,1.250000,4.263004,-0.401803,85.718033
-27,164,2124,-0.013190,0.080117,1.037616,12,-51,-34,0.750000,-3.187500,-2.125000,4.414852,-0.726136,85.525597
-18,165,2115,-0.008793,0.080606,1.033219,32,-13,99,2.000000,-0.812500,6.187500,4.460687,-0.486135,85.512794
-25,160,2123,-0.012213,0.078163,1.037127,16,-38,-34,1.000000,-2.375000,-2.125000,4.309654,-0.672764,85.637955
-21,162,2127,-0.010259,0.079140,1.039082,61,-84,62,3.812500,-5.250000,3.875000,4.355233,-0.564033,85.608253
-27,162,2123,-0.013190,0.079140,1.037127,20,9,-85,1.250000,0.562500,-5.312500,4.363268,-0.726528,85.576424
-24,164,2126,-0.011724,0.080117,1.038593,8,-91,-9,0.500000,-5.687500,-0.562500,4.410790,-0.644858,85.542137
-27,161,2130,-0.013190,0.078652,1.040547,20,-66,-20,1.250000,-4.125000,-1.250000,4.322242,-0.724180,85.617287
-26,169,2124,-0.012702,0.082560,1.037616,16,-76,-21,1.000000,-4.750000,-1.312500,4.548922,-0.699116,85.397446
-22,162,2119,-0.010747,0.079140,1.035173,17,-86,25,1.062500,-5.375000,1.562500,4.371590,-0.593107,85.588203
-26,166,2120,-0.012702,0.081094,1.035662,29,11,20,1.812500,0.687500,1.250000,4.476897,-0.700505,85.468407
-30,161,2134,-0.014656,0.078652,1.042501,15,-80,24,0.937500,-5.000000,1.500000,4.314092,-0.803135,85.611511
-27,162,2122,-0.013190,0.079140,1.036639,24,66,-15,1.500000,4.125000,-0.937500,4.365315,-0.726868,85.574348
-28,163,2127,-0.013679,0.079629,1.039082,8,0,21,0.500000,0.000000,1.312500,4.381847,-0.751998,85.553841
-28,164,2124,-0.013679,0.080117,1.037616,34,-77,-1,2.125000,-4.812500,-0.062500,4.414825,-0.753027,85.521164
-24,159,2126,-0.011724,0.077675,1.038593,-11,83,-71,-0.687500,5.187500,-4.437500,4.276822,-0.644972,85.674637
-21,163,2119,-0.010259,0.079629,1.035173,-6,25,23,-0.375000,1.562500,1.437500,4.398490,-0.566129,85.565086
-25,165,2127,-0.012213,0.080606,1.039082,30,116,-60,1.875000,7.250000,-3.750000,4.435477,-0.671386,85.513794
-26,165,2129,-0.012702,0.080606,1.040059,-1,92,27,-0.062500,5.750000,1.687500,4.431303,-0.697587,85.513908
-24,157,2128,-0.011724,0.076698,1.039570,21,121,-1,1.312500,7.562500,-0.062500,4.219267,-0.644414,85.731628
-23,160,2117,-0.011236,0.078163,1.034196,-31,113,-23,-1.937500,7.062500,-1.437500,4.321867,-0.620691,85.633621
-24,167,2125,-0.011724,0.081583,1.038105,4,93,-64,0.250000,5.812500,-4.000000,4.493253,-0.645089,85.460487
-24,164,2120,-0.011724,0.080117,1.035662,-2,30,13,-0.125000,1.875000,0.812500,4.423223,-0.646672,85.529572
-22,160,2123,-0.010747,0.078163,1.037127,22,8,7,1.375000,0.500000,0.437500,4.309721,-0.592039,85.649651
-28,164,2119,-0.013679,0.080117,1.035173,23,132,-53,1.437500,8.250000,-3.312500,4.425200,-0.754793,85.510635
-22,165,2119,-0.010747,0.080606,1.035173,-15,88,-39,-0.937500,5.500000,-2.437500,4.452222,-0.593043,85.508293
-26,161,2127,-0.012702,0.078652,1.039082,-14,16,5,-0.875000,1.000000,0.312500,4.328340,-0.698339,85.615479
-26,167,2126,-0.012702,0.081583,1.038593,49,-41,15,3.062500,-2.562500,0.937500,4.491099,-0.698515,85.454681
-28,164,2120,-0.013679,0.080117,1.035662,26,-90,34,1.625000,-5.625000,2.125000,4.423121,-0.754439,85.512749
-23,164,2128,-0.011236,0.080117,1.039570,24,-70,5,1.500000,-4.375000,0.312500,4.406685,-0.617414,85.550102
-30,161,2127,-0.014656,0.078652,1.039082,3,-109,5,0.187500,-6.812500,0.312500,4.328233,-0.805763,85.597122
-21,162,2122,-0.010259,0.079140,1.036639,45,-61,23,2.812500,-3.812500,1.437500,4.365455,-0.565354,85.597946
-27,159,2128,-0.013190,0.077675,1.039570,19,-68,55,1.187500,-4.250000,3.437500,4.272746,-0.724908,85.665970
-24,164,2127,-0.011724,0.080117,1.039082,23,-21,-84,1.437500,-1.312500,-5.250000,4.408725,-0.644556,85.544220
