Elapse,Mag_raw_X,Mag_raw_Y,Mag_raw_Z
5.31499999999996,-43,-279,-29
5.32600000000005,-43,-279,-29
4.31399999999993,-47,-289,-43
5.26000000000004,-47,-285,-43
5.29199999999996,-43,-285,-39
4.35700000000006,-40,-284,-32
5.24399999999992,-40,-284,-32
5.28800000000007,-40,-284,-32
5.58700000000001,-44,-288,-40
4.08799999999998,-40,-290,-40
6.38899999999998,-40,-290,-40
5.40099999999999,-40,-290,-40
4.22600000000006,-43,-291,-43
5.243,-38,-302,-44
5.31599999999999,-38,-302,-44
4.45099999999998,-38,-302,-44
5.26799999999994,-38,-294,-48
5.31400000000004,-37,-299,-49
4.34999999999997,-37,-299,-49
5.2580000000001,-37,-299,-49
5.386,-42,-298,-52
4.24799999999992,-37,-301,-49
5.37399999999999,-37,-301,-49
5.278,-37,-301,-49
4.28000000000006,-37,-301,-49
6.44999999999996,-38,-302,-60
5.274,-38,-302,-60
4.26599999999999,-41,-305,-59
5.40400000000008,-41,-305,-59
5.2549999999999,-40,-304,-60
4.34900000000005,-40,-304,-60
5.42100000000001,-38,-304,-70
5.26800000000005,-38,-304,-70
4.21999999999989,-38,-304,-70
5.33100000000009,-35,-305,-63
5.39800000000001,-32,-310,-70
5.27499999999992,-32,-310,-70
4.27200000000005,-32,-310,-70
5.39100000000003,-33,-311,-67
6.42699999999996,-32,-310,-74
4.21399999999994,-32,-310,-74
5.45200000000001,-32,-310,-74
5.243,-38,-312,-76
4.18000000000007,-33,-315,-79
5.31599999999999,-38,-315,-79
5.39499999999993,-38,-316,-80
4.193,-38,-316,-80
5.32300000000008,-34,-316,-82
5.40300000000005,-34,-316,-82
5.3399999999999,-40,-312,-82
4.21699999999992,-40,-312,-82
5.40700000000016,-43,-319,-89
5.30199999999992,-43,-319,-89
5.21900000000008,-32,-318,-90
5.42699999999985,-32,-318,-90
5.25799999999998,-39,-317,-85
4.19800000000015,-39,-317,-85
5.31900000000007,-41,-317,-95
5.37099999999979,-41,-317,-95
4.23499999999999,-41,-317,-95
5.28400000000007,-39,-315,-91
5.39899999999993,-40,-316,-88
5.22700000000009,-40,-316,-88
4.2310000000001,-40,-316,-88
5.40699999999994,-45,-319,-99
5.35099999999988,-43,-317,-99
4.1920000000002,-48,-318,-92
5.36799999999982,-48,-318,-92
6.44800000000001,-48,-318,-92
4.25200000000014,-41,-315,-95
5.30799999999987,-47,-311,-99
5.39299999999998,-47,-311,-99
4.16700000000003,-47,-311,-99
5.29200000000007,-41,-323,-103
5.40499999999988,-41,-323,-103
4.19600000000009,-49,-313,-97
5.26899999999997,-49,-313,-97
5.44800000000012,-50,-318,-96
5.25599999999993,-50,-318,-96
4.26900000000008,-50,-320,-106
5.30299999999984,-50,-320,-106
5.72800000000018,-54,-320,-104
5.30499999999989,-54,-320,-104
5.29800000000002,-52,-316,-98
4.24000000000002,-52,-316,-98
5.23999999999991,-55,-323,-107
5.27900000000003,-55,-323,-107
5.44300000000009,-60,-316,-100
4.17699999999988,-57,-325,-101
5.35799999999997,-57,-325,-101
4.45800000000007,-57,-325,-101
5.463,-61,-323,-105
5.17499999999993,-60,-324,-108
5.31500000000018,-60,-324,-108
4.31199999999987,-60,-324,-108
5.27999999999995,-63,-325,-107
6.386,-68,-330,-104
4.27400000000011,-68,-330,-104
5.27600000000006,-68,-330,-104
5.39999999999985,-67,-321,-111
4.41899999999995,-69,-329,-97
5.31100000000007,-69,-329,-97
5.274,-69,-329,-97
4.28000000000006,-70,-322,-110
5.45799999999996,-70,-322,-110
5.27000000000011,-67,-327,-111
4.8499999999998,-67,-327,-111
4.63100000000005,-67,-327,-111
6.70700000000002,-67,-327,-111
3.83100000000014,-73,-323,-105
5.38699999999981,-77,-327,-107
5.26300000000002,-77,-327,-107
5.29000000000002,-77,-327,-107
4.32999999999995,-73,-331,-111
5.39200000000006,-75,-329,-105
5.27100000000003,-75,-329,-105
4.1230000000001,-75,-329,-105
5.59500000000002,-79,-329,-105
5.57199999999991,-78,-336,-110
3.90200000000007,-78,-336,-110
5.38899999999987,-78,-336,-110
5.25299999999995,-74,-332,-108
5.2770000000002,-82,-336,-104
5.43399999999994,-82,-336,-104
5.24199999999997,-82,-336,-104
5.27600000000006,-82,-338,-106
