Elapse,Mag_X,Mag_Y,Mag_Z
1.23999999999996,277,413,175
0.844000000000011,284,418,182
1.52600000000003,284,418,182
2.20099999999995,284,418,182
0.885000000000025,284,418,182
1.43199999999999,284,418,182
0.950000000000006,284,418,182
1.002,284,418,182
2.11899999999998,284,418,182
1.22800000000001,284,418,182
1.12699999999999,284,418,182
1.02200000000002,280,416,180
1.03399999999998,280,416,180
2.197,280,416,180
1.496,280,416,180
1.99900000000003,279,415,175
0.802999999999998,279,415,175
1.43499999999996,279,415,175
1.63600000000003,279,415,175
1.68699999999999,279,415,175
1.834,279,415,175
0.916000000000028,279,415,175
0.926999999999956,279,415,175
1.052,279,415,175
2.10300000000002,279,415,175
1.083,277,423,179
2.25199999999998,277,423,179
0.959000000000043,277,423,179
1.51499999999999,277,423,179
2.25199999999998,277,423,179
0.941999999999998,278,418,182
1.73300000000004,278,418,182
1.06799999999996,278,418,182
1.30800000000003,278,418,182
1.085,278,422,178
2.29199999999996,278,422,178
1.07700000000005,278,422,178
1.96299999999999,278,422,178
1.386,278,422,178
2.03999999999999,278,422,178
1.39800000000001,278,422,178
0.821999999999989,278,422,178
1.35999999999997,278,422,178
0.914000000000026,278,422,178
1.79000000000001,273,421,179
1.06299999999998,273,421,179
1.031,273,421,179
2.10899999999997,273,421,179
1.10000000000005,273,421,179
2.14500000000001,279,413,179
1.03999999999999,279,413,179
1.50600000000001,279,413,179
0.844999999999985,279,413,179
1.49699999999997,279,413,179
2.22300000000003,279,413,179
2.22,279,413,179
1.19799999999998,279,413,179
1.60900000000003,279,413,179
1.28200000000001,279,413,179
0.689999999999968,277,421,183
1.81000000000003,277,421,183
1.76299999999996,277,421,183
0.691000000000053,277,421,183
1.22799999999995,279,417,181
0.680000000000014,279,417,181
2.06600000000001,279,417,181
1.73499999999999,279,417,181
2.19200000000003,279,417,181
0.979999999999981,279,417,181
1.56699999999999,279,417,181
1.45300000000004,279,417,181
0.739999999999963,279,417,181
1.99300000000002,279,417,181
1.51499999999999,279,425,181
0.765999999999989,279,425,181
1.49300000000002,279,425,181
1.62499999999999,279,425,181
2.00600000000001,279,417,175
2.301,279,417,175
1.13099999999999,279,417,175
1.64599999999998,279,417,175
1.33700000000003,279,417,175
0.689999999999968,279,417,175
1.82700000000002,279,417,175
0.771999999999995,279,417,175
