Elapse,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
5.33499999999998,-0.040059,0.001954,0.996092,-1.8125,1.8125,1.125
5.30799999999998,-0.040059,-0.011236,1.006839,1.75,0.6875,-0.0625
5.29800000000002,-0.05618,-0.001954,0.998534,-1.625,-1.125,-0.625
5.31599999999999,-0.04299,-0.013679,1.008793,-0.9375,0.375,-0.5625
5.39999999999996,-0.042501,0.004397,1.004885,-2.125,-0.4375,2.0625
5.301,-0.036639,-0.000489,0.991207,-0.125,0.75,0.5625
4.26300000000002,-0.043478,-0.006351,1.011236,-2.9375,1.5625,0.875
5.28800000000007,-0.05618,-0.02296,1.008305,-1.125,0.125,0.5625
5.31199999999998,-0.041036,-0.008305,1.005862,-0.0625,-0.4375,2.375
4.26099999999996,-0.044944,-0.011236,1.000489,-0.875,0.0625,-0.8125
5.24999999999998,-0.043478,-0.001954,0.999511,-1.4375,0.8125,-1.1875
6.34600000000007,-0.048363,-0.001466,0.995115,-0.25,-0.1875,-1.875
7.44,-0.057157,-0.003908,1.011724,-1.25,1.625,-3.1875
4.30799999999998,-0.042013,-0.002931,1.009282,-0.875,0.875,-0.5
5.28700000000004,-0.046898,-0.000977,1.019052,-2.8125,1.25,-2.3125
6.38899999999998,-0.023937,-0.00977,1.007328,-0.9375,0.4375,1.0625
4.23699999999994,-0.037128,-0.001954,0.998534,1.375,-0.9375,2.6875
5.29600000000008,-0.052272,-0.009282,1.006839,-2,1.625,-0.125
5.31699999999991,-0.043478,-0.02296,1.011724,-1,2.25,-0.1875
4.27,-0.037128,-0.019052,1.006351,0.25,-0.3125,-1
5.31200000000009,-0.049829,0.011236,1.004885,2,0.3125,0.1875
5.30599999999992,-0.047386,-0.005862,1.014167,-1.625,-2.0625,1.6875
5.30800000000009,-0.053737,-0.012213,1.008793,-0.125,-2.5,-0.0625
6.43699999999992,-0.037128,-0.004397,0.982413,-1.125,-0.75,-0.5625
6.35400000000008,-0.024915,-0.006351,1.007816,-1.9375,2.6875,-0.8125
4.25299999999995,-0.045432,-0.007328,1.006351,-2.5,3.375,-0.25
5.25299999999995,-0.047386,-0.021006,1.00977,0.1875,-0.1875,0.3125
6.36900000000007,-0.041036,-0.006839,0.998534,-0.125,-0.6875,0.625
5.32500000000002,-0.03615,0.000977,0.990718,-0.125,-1.375,-3.375
4.18799999999997,-0.048852,-0.009282,1.007816,-3,0.6875,1.0625
5.30200000000003,-0.053737,-0.003908,1.000489,-0.25,0.75,1.125
5.31899999999996,-0.042013,-0.001954,0.997069,-0.3125,1.375,-1.8125
4.32999999999995,-0.044455,-0.004885,1.00342,-1.9375,-0.125,-2.4375
6.3470000000001,-0.030777,-0.005862,1.006839,-2.3125,-1.6875,0.6875
5.31099999999995,-0.044944,0,0.999023,0.5,-0.375,0.75
5.27,-0.042501,-0.004397,0.992672,-1.0625,-0.125,0.1875
5.31000000000004,-0.045432,-0.001954,1.00977,-0.375,-1.75,-1.125
6.38299999999992,-0.043478,-0.008305,0.992672,0.4375,-0.1875,1.0625
4.22600000000006,-0.048852,-0.000489,0.983879,-0.9375,1.125,-0.4375
5.25799999999998,-0.040547,-0.017098,1.000977,0.375,0.5,-0.625
5.31599999999999,-0.042013,-0.006839,1.01319,-1.25,1.375,-0.375
6.436,-0.044944,-0.007816,1.010259,-0.375,0.25,-0.5625
4.20399999999999,-0.055691,0.000977,1.009282,0.3125,2.3125,1.25
5.29900000000005,-0.037616,-0.004885,1.011236,-3.1875,2.8125,-0.1875
6.36300000000001,-0.040059,-0.000977,0.995115,-0.8125,0.875,-0.375
4.20899999999991,-0.037616,-0.000977,0.999023,-0.0625,-1.5,1.375
