Elapse,Mag_X,Mag_Y,Mag_Z
3.09500000000001,-36.333332,70.333336,-7.666667
4.17600000000001,-35.833332,70.166664,-6.5
3.189,-35.833332,70.166664,-6.5
3.19900000000001,-35.833332,70.166664,-6.5
3.23599999999996,-35.833332,70.166664,-6.5
4.22500000000003,-36.833332,70.166664,-6.833333
3.191,-36.833332,70.166664,-6.833333
4.27299999999997,-36,70,-7
2.11800000000001,-36,70,-7
4.36999999999999,-35.333332,70.333336,-6.666667
3.13200000000002,-35.333332,70.333336,-6.666667
4.24799999999997,-35.333332,70.333336,-6.666667
3.22500000000003,-36.166668,70.166664,-5.833333
3.28800000000001,-36.166668,70.166664,-5.833333
3.11699999999998,-35.833332,70.5,-7.166667
4.25500000000001,-35.833332,70.5,-7.166667
3.18299999999999,-35.833332,70.5,-7.166667
3.18800000000002,-35.833332,70.5,-7.166667
3.91499999999995,-34.833332,69.5,-6.833333
3.57700000000005,-34.833332,69.5,-6.833333
3.193,-36.166668,70.5,-6.5
4.28699999999998,-36.166668,70.5,-6.5
2.09999999999999,-36.166668,70.5,-6.5
4.34899999999999,-36.166668,70.5,-6.5
4.17499999999998,-35.833332,69.833336,-7.5
3.24800000000003,-35.833332,69.833336,-7.5
3.222,-36.166668,71.166664,-7.166667
3.20500000000001,-36.166668,71.166664,-7.166667
4.27699999999998,-36.166668,71.166664,-7.166667
3.15700000000002,-36.166668,71.166664,-7.166667
4.25999999999999,-35.833332,70.5,-7.166667
2.09999999999999,-35.833332,70.5,-7.166667
4.84600000000002,-36.166668,69.833336,-6.5
2.62200000000001,-36.166668,69.833336,-6.5
4.25199999999998,-36.166668,69.833336,-6.5
2.12899999999999,-36.166668,69.833336,-6.5
4.23099999999998,-35.833332,70.166664,-7.166667
3.28300000000004,-35.833332,70.166664,-7.166667
4.193,-35,70,-7
3.17099999999998,-35,70,-7
3.19999999999998,-35.833332,70.166664,-6.833333
4.23000000000001,-35.833332,70.166664,-6.833333
3.29099999999999,-35.833332,70.166664,-6.833333
4.166,-35.833332,70.166664,-6.833333
3.20500000000001,-35.833332,69.833336,-7.166667
3.14199999999998,-35.833332,69.833336,-7.166667
3.17800000000001,-35.333332,70,-6.333333
4.33,-35.333332,70,-6.333333
3.15599999999999,-35.333332,70,-6.333333
4.243,-35.333332,70,-6.333333
2.09400000000004,-35.833332,72.166664,-7.833333
4.44099999999997,-35.833332,72.166664,-7.833333
3.04300000000002,-36.166668,69.833336,-7.166667
4.23000000000001,-36.166668,69.833336,-7.166667
3.193,-36.166668,69.833336,-7.166667
3.15199999999999,-36.166668,69.833336,-7.166667
3.29000000000002,-35.666668,69.666664,-8
4.191,-35.666668,69.666664,-8
3.17599999999996,-35.5,70.166664,-6.833333
3.195,-35.5,70.166664,-6.833333
3.15500000000002,-35.5,70.166664,-6.833333
4.417,-35.5,70.166664,-6.833333
3.15200000000004,-35,70,-8
4.25299999999995,-35,70,-8
2.11499999999998,-36.166668,70.5,-7.833333
4.28899999999999,-36.166668,70.5,-7.833333
3.18700000000005,-36.166668,70.5,-7.833333
4.22699999999998,-36.166668,70.5,-7.833333
3.18099999999999,-36.166668,70.5,-7.833333
3.18600000000002,-36.166668,70.5,-7.833333
3.33399999999995,-36.5,70.166664,-6.833333
4.14300000000001,-36.5,70.166664,-6.833333
3.162,-35.833332,70.166664,-7.833333
3.19000000000003,-35.833332,70.166664,-7.833333
3.15100000000001,-35.833332,70.166664,-7.833333
4.35799999999997,-35.5,69.166664,-7.833333
3.13700000000006,-35.5,69.166664,-7.833333
4.23999999999991,-36.333332,70.333336,-7.666667
3.18900000000011,-36.333332,70.333336,-7.666667
3.13899999999989,-36.333332,70.333336,-7.666667
4.32300000000008,-36.333332,70.333336,-7.666667
3.13799999999997,-35.666668,71.333336,-8.333333
4.22100000000003,-35.666668,71.333336,-8.333333
2.18799999999997,-35.833332,69.833336,-7.166667
4.29999999999997,-35.833332,69.833336,-7.166667
3.15100000000001,-35.833332,69.833336,-7.166667
4.22299999999998,-35.833332,69.833336,-7.166667
4.24200000000008,-36.333332,71.333336,-6.666667
2.08900000000001,-36.333332,71.333336,-6.666667
4.41199999999997,-36.833332,69.833336,-7.166667
3.12899999999994,-36.833332,69.833336,-7.166667
4.23700000000005,-36.833332,69.833336,-7.166667
2.20399999999998,-36.833332,69.833336,-7.166667
4.14500000000007,-35.666668,70.333336,-7.666667
3.30199999999992,-35.666668,70.333336,-7.666667
4.18499999999999,-35.833332,70.833336,-7.166667
3.16500000000008,-35.833332,70.833336,-7.166667
3.19599999999998,-37.166668,70.833336,-7.166667
3.14899999999996,-37.166668,70.833336,-7.166667
4.35000000000008,-37.166668,70.833336,-7.166667
3.14199999999998,-37.166668,70.833336,-7.166667
4.22800000000001,-36.666668,70.666664,-8.333333
2.25599999999992,-36.666668,70.666664,-8.333333
4.66300000000008,-35.666668,70.666664,-8
2.7069999999999,-35.666668,70.666664,-8
4.23800000000008,-35.666668,70.666664,-8
2.26199999999999,-35.666668,70.666664,-8
4.09599999999999,-37.166668,70.833336,-8.166667
3.28899999999999,-37.166668,70.833336,-8.166667
4.19400000000003,-35.833332,70.5,-7.833333
3.17599999999996,-35.833332,70.5,-7.833333
3.17500000000004,-35.833332,70.5,-7.833333
3.15900000000002,-35.833332,70.5,-7.833333
4.359,-37.333332,71,-7.333333
3.11899999999998,-37.333332,71,-7.333333
4.23699999999994,-37.333332,70.333336,-8.333333
2.359,-37.333332,70.333336,-8.333333
3.98799999999999,-37.333332,70.333336,-8.333333
4.43500000000008,-37.333332,70.333336,-8.333333
